pdes,full_name,neo,pha,H,diameter,albedo,e,a,q,i,om,w,moid,class
2020 HO154,       (2020 HO154),Y,N,24.77,,,0.4983,2.318,1.163,10.13,28.68,175.35,0.16,AMO
2020 HL212,       (2020 HL212),Y,N,21.08,,,0.7806,2.236,0.491,12.58,158.19,190.26,0.204,APO
2020 JA,       (2020 JA),Y,N,27.20,,,0.7706,3.158,0.724,5.88,43.80,249.74,0.000821,APO
2020 JB,       (2020 JB),Y,N,23.47,,,0.5030,1.847,0.918,7.38,59.16,118.87,0.0368,APO
2020 JC,       (2020 JC),Y,N,25.00,,,0.1147,1.185,1.049,20.75,220.26,62.06,0.0974,AMO
2020 JD,       (2020 JD),Y,N,19.91,,,0.4912,1.299,0.661,20.11,57.98,60.84,0.136,APO
2020 JE,       (2020 JE),Y,N,26.20,,,0.5191,1.958,0.942,9.68,45.37,223.84,0.0172,APO
2020 JF,       (2020 JF),Y,N,26.10,,,0.5369,1.193,0.552,13.16,44.72,290.35,0.0119,APO
2020 JG,       (2020 JG),Y,N,25.80,,,0.4670,0.8651,0.461,6.10,220.17,225.78,0.000808,ATE
2020 JH,       (2020 JH),Y,N,21.80,,,0.7993,2.144,0.430,8.51,63.31,48.66,0.0615,APO
2020 JJ,       (2020 JJ),Y,N,29.90,,,0.4220,1.506,0.870,11.19,44.12,237.45,0.000343,APO
2020 JK,       (2020 JK),Y,N,24.07,,,0.6600,1.956,0.665,1.10,241.80,76.20,0.00199,APO
2020 JL,       (2020 JL),Y,N,22.80,,,0.5316,2.529,1.185,65.11,221.51,34.86,0.248,AMO
2020 JM,       (2020 JM),Y,N,26.20,,,0.2969,1.212,0.852,5.14,53.62,92.09,0.0252,APO
2020 JN,       (2020 JN),Y,N,27.40,,,0.6620,1.181,0.399,2.79,223.18,122.74,0.00131,APO
2020 JO,       (2020 JO),Y,N,25.90,,,0.4682,1.761,0.937,8.91,212.49,325.43,0.00817,APO
2020 JP,       (2020 JP),Y,N,20.87,,,0.6693,3.235,1.070,21.11,226.70,19.24,0.0799,AMO
2020 JR,       (2020 JR),Y,N,25.10,,,0.3413,1.386,0.913,1.76,66.09,107.71,0.011,APO
2020 JS,       (2020 JS),Y,N,25.80,,,0.2847,1.347,0.964,21.16,220.08,322.00,0.00359,APO
2020 JT,       (2020 JT),Y,N,22.32,,,0.3750,1.558,0.974,20.98,222.31,91.08,0.222,APO
2020 JU,       (2020 JU),Y,Y,20.83,,,0.0862,0.9389,0.858,10.70,259.03,167.10,0.00219,ATE
2020 JV,       (2020 JV),Y,Y,21.40,,,0.6382,2.252,0.815,3.24,280.07,238.69,0.0026,APO
2020 JX,       (2020 JX),Y,N,23.80,,,0.5711,2.406,1.032,5.80,88.06,152.01,0.0383,AMO
2020 JY,       (2020 JY),Y,N,24.50,,,0.3013,1.465,1.024,20.27,57.19,175.06,0.0131,AMO
2020 JZ,       (2020 JZ),Y,N,22.87,,,0.6198,2.502,0.951,24.32,52.25,250.67,0.172,APO
2020 JA1,       (2020 JA1),Y,N,26.70,,,0.4790,1.997,1.040,0.72,49.09,183.19,0.0299,AMO
2020 JB1,       (2020 JB1),Y,N,26.40,,,0.3693,1.19,0.751,1.01,213.89,288.94,0.00489,APO
2020 JC1,       (2020 JC1),Y,N,25.90,,,0.2228,1.369,1.064,14.93,230.93,8.62,0.0558,AMO
2020 JE1,       (2020 JE1),Y,N,24.70,,,0.2005,1.044,0.834,9.84,232.89,106.16,0.0268,APO
2020 JF1,       (2020 JF1),Y,N,27.10,,,0.4599,1.835,0.991,11.66,232.83,24.41,0.00757,APO
2020 JG1,       (2020 JG1),Y,N,25.95,,,0.1033,0.9725,0.872,9.96,229.55,156.43,0.0498,ATE
2020 JH1,       (2020 JH1),Y,N,24.90,,,0.1974,1.193,0.958,4.12,239.06,73.02,0.0268,APO
2020 JJ1,       (2020 JJ1),Y,N,23.30,,,0.4178,1.192,0.694,36.82,229.07,247.10,0.128,APO
2020 JK1,       (2020 JK1),Y,N,27.50,,,0.2572,1.356,1.007,4.87,231.14,340.44,0.00779,APO
2020 JL1,       (2020 JL1),Y,N,28.30,,,0.5539,2.176,0.971,6.95,233.05,33.24,0.0101,APO
2020 JM1,       (2020 JM1),Y,N,26.00,,,0.2976,1.437,1.009,5.23,56.35,215.38,0.0246,APO
