pdes,full_name,neo,pha,H,diameter,albedo,e,a,q,i,om,w,moid,class
433,   433 Eros (A898 PA),Y,N,10.40,16.84,0.25,0.2229,1.458,1.133,10.83,304.27,178.92,0.149,AMO
719,   719 Albert (A911 TB),Y,N,15.59,,,0.5466,2.637,1.196,11.57,183.86,156.18,0.202,AMO
887,   887 Alinda (A918 AA),Y,N,13.82,4.2,0.31,0.5711,2.474,1.061,9.40,110.41,350.55,0.0801,AMO
1036,  1036 Ganymed (A924 UB),Y,N,9.17,37.675,0.238,0.5335,2.664,1.243,26.69,215.40,132.51,0.342,AMO
1221,  1221 Amor (1932 EA1),Y,N,17.37,1.0,,0.4347,1.92,1.085,11.87,171.24,26.75,0.109,AMO
1566,  1566 Icarus (1949 MA),Y,Y,16.53,1.0,0.51,0.8270,1.078,0.186,22.80,87.95,31.44,0.0338,APO
1580,  1580 Betulia (1950 KA),Y,N,14.54,5.8,0.08,0.4876,2.195,1.125,52.19,62.22,159.71,0.134,AMO
1620,  1620 Geographos (1951 RA),Y,Y,15.27,2.56,0.290,0.3355,1.246,0.828,13.34,337.13,277.03,0.0295,APO
1627,  1627 Ivar (1929 SH),Y,N,12.79,9.12,0.15,0.3973,1.863,1.123,8.46,133.07,167.83,0.11,AMO
1685,  1685 Toro (1948 OA),Y,N,14.26,3.4,0.31,0.4360,1.368,0.771,9.38,274.21,127.27,0.0509,APO
1862,  1862 Apollo (1932 HA),Y,Y,16.09,1.5,0.25,0.5602,1.471,0.647,6.35,35.50,286.10,0.0263,APO
1863,  1863 Antinous (1948 EA),Y,N,15.32,2.1,0.24,0.6062,2.259,0.890,18.38,345.54,269.11,0.188,APO
1864,  1864 Daedalus (1971 FA),Y,N,14.83,3.7,0.273,0.6145,1.461,0.563,22.22,6.60,325.66,0.269,APO
1865,  1865 Cerberus (1971 UA),Y,N,16.77,1.2,0.22,0.4669,1.08,0.576,16.10,212.88,325.30,0.156,APO
1866,  1866 Sisyphus (1972 XA),Y,N,12.47,8.48,0.15,0.5381,1.893,0.875,41.21,63.45,293.09,0.103,APO
1915,  1915 Quetzalcoatl (1953 EA),Y,N,18.38,0.5,0.21,0.5703,2.545,1.094,20.40,162.92,347.77,0.11,AMO
1916,  1916 Boreas (1953 RA),Y,N,14.93,3.5,,0.4491,2.273,1.252,12.88,340.58,335.90,0.253,AMO
1917,  1917 Cuyo (1968 AA),Y,N,14.38,5.7,0.195,0.5054,2.149,1.063,23.96,188.27,194.55,0.0718,AMO
1943,  1943 Anteros (1973 EC),Y,N,15.66,2.3,0.17,0.2562,1.431,1.064,8.71,246.27,338.49,0.0626,AMO
1980,  1980 Tezcatlipoca (1950 LA),Y,N,13.80,4.3,0.25,0.3647,1.71,1.086,26.87,246.54,115.46,0.245,AMO
1981,  1981 Midas (1973 EA),Y,Y,15.28,3.4,,0.6504,1.776,0.621,39.82,356.79,267.85,0.00385,APO
2059,  2059 Baboquivari (1963 UA),Y,N,15.98,,,0.5314,2.642,1.238,11.02,200.69,192.45,0.245,AMO
2061,  2061 Anza (1960 UA),Y,N,16.70,2.6,,0.5359,2.265,1.051,3.80,207.30,157.13,0.0549,AMO
2062,  2062 Aten (1976 AA),Y,N,17.11,1.1,0.26,0.1829,0.967,0.790,18.94,108.53,148.07,0.113,ATE
2063,  2063 Bacchus (1977 HB),Y,N,17.21,1.024,0.203,0.3492,1.078,0.701,9.43,33.02,55.39,0.067,APO
2100,  2100 Ra-Shalom (1978 RA),Y,N,16.24,2.3,0.13,0.4365,0.832,0.469,15.76,170.76,356.08,0.15,ATE
2101,  2101 Adonis (1936 CA),Y,Y,18.69,0.6,,0.7641,1.874,0.442,1.32,349.41,43.71,0.0115,APO
2102,  2102 Tantalus (1975 YA),Y,Y,15.99,1.649,0.245,0.2994,1.29,0.904,64.00,94.35,61.51,0.0426,APO
2135,  2135 Aristaeus (1977 HA),Y,Y,18.05,,,0.5031,1.6,0.795,23.07,191.10,290.99,0.00967,APO
2201,  2201 Oljato (1947 XC),Y,Y,15.32,1.80,0.4328,0.7109,2.179,0.630,2.52,74.85,98.38,0.00271,APO
2202,  2202 Pele (1972 RA),Y,N,16.99,,,0.5128,2.291,1.116,8.74,169.90,217.97,0.143,AMO
2212,  2212 Hephaistos (1978 SB),Y,N,13.45,5.7,0.163,0.8346,2.167,0.358,11.20,26.54,210.48,0.112,APO
2329,  2329 Orthos (1976 WA),Y,N,14.57,,,0.6532,2.412,0.837,24.50,169.12,146.26,0.0937,APO
2340,  2340 Hathor (1976 UA),Y,Y,20.41,0.3,,0.4500,0.8437,0.464,5.86,211.21,40.20,0.0064,ATE
2368,  2368 Beltrovata (1977 RA),Y,N,15.18,2.3,0.27,0.4135,2.105,1.235,5.22,287.29,43.03,0.232,AMO
2608,  2608 Seneca (1978 DA),Y,N,17.48,0.9,0.21,0.5647,2.531,1.101,14.43,166.42,38.71,0.154,AMO
3102,  3102 Krok (1981 QA),Y,N,16.16,1.6,,0.4492,2.151,1.185,8.44,172.04,154.77,0.184,AMO
3103,  3103 Eger (1982 BB),Y,N,15.30,1.5,0.64,0.3541,1.404,0.907,20.93,129.73,254.10,0.0791,APO
3122,  3122 Florence (1981 ET3),Y,Y,14.08,4.9,0.231,0.4232,1.769,1.020,22.14,336.04,27.87,0.0439,AMO
3199,  3199 Nefertiti (1982 RA),Y,N,14.99,2.2,0.42,0.2841,1.575,1.127,32.96,339.97,53.45,0.215,AMO
3200,  3200 Phaethon (1983 TB),Y,Y,14.38,6.25,0.1066,0.8897,1.271,0.140,22.31,265.10,322.30,0.0187,APO
3271,  3271 Ul (1982 RB),Y,N,16.55,,,0.3954,2.103,1.271,25.08,158.77,159.18,0.277,AMO
3288,  3288 Seleucus (1982 DV),Y,N,15.34,2.8,0.22,0.4545,2.034,1.110,5.93,218.57,349.41,0.106,AMO
3352,  3352 McAuliffe (1981 CW),Y,N,15.93,,,0.3691,1.879,1.185,4.77,107.33,16.11,0.203,AMO
3360,  3360 Syrinx (1981 VA),Y,N,16.03,1.8,0.17,0.7483,2.465,0.620,21.01,241.89,64.04,0.109,APO
3361,  3361 Orpheus (1982 HR),Y,Y,19.50,0.3,0.357,0.3228,1.209,0.819,2.65,188.26,302.86,0.0145,APO
3362,  3362 Khufu (1984 QA),Y,Y,18.52,0.7,0.21,0.4685,0.9895,0.526,9.92,152.40,55.09,0.0132,ATE
3551,  3551 Verenia (1983 RD),Y,N,16.72,0.9,0.37,0.4868,2.093,1.074,9.51,173.77,193.31,0.0749,AMO
3552,  3552 Don Quixote (1983 SA),Y,N,13.02,19.0,0.03,0.7074,4.271,1.250,31.05,349.97,316.49,0.342,AMO
3553,  3553 Mera (1985 JA),Y,N,16.41,,,0.3200,1.645,1.118,36.77,232.48,288.90,0.295,AMO
3554,  3554 Amun (1986 EB),Y,N,15.91,3.341,0.074,0.2805,0.9739,0.701,23.36,358.59,359.42,0.251,ATE
3671,  3671 Dionysus (1984 KD),Y,Y,16.50,1.5,0.16,0.5440,2.197,1.002,13.53,82.01,204.48,0.0158,APO
3691,  3691 Bede (1982 FT),Y,N,14.93,4.3,0.515,0.2844,1.774,1.270,20.35,348.69,235.04,0.352,AMO
3752,  3752 Camillo (1985 PA),Y,N,15.14,2.306,0.210,0.3016,1.414,0.987,55.56,147.95,312.24,0.0785,APO
3753,  3753 Cruithne (1986 TO),Y,N,15.42,2.071,0.365,0.5149,0.9978,0.484,19.80,126.19,43.88,0.0707,ATE
3757,  3757 Anagolay (1982 XB),Y,Y,19.01,0.5,0.18,0.4458,1.835,1.017,3.87,74.93,17.25,0.0367,APO
3838,  3838 Epona (1986 WA),Y,N,15.67,,,0.7026,1.505,0.448,29.18,235.43,49.76,0.159,APO
3908,  3908 Nyx (1980 PA),Y,N,17.45,1.0,0.23,0.4590,1.928,1.043,2.19,261.19,126.67,0.0564,AMO
3988,  3988 Huma (1986 LA),Y,N,17.95,0.7,,0.3169,1.544,1.055,10.77,229.76,86.98,0.178,AMO
4015,  4015 Wilson-Harrington (1979 VA),Y,Y,16.16,4,0.05,0.6308,2.627,0.970,2.80,266.72,95.50,0.0431,APO
4034,  4034 Vishnu (1986 PA),Y,Y,18.50,0.42,0.52,0.4440,1.059,0.589,11.17,157.86,296.71,0.0192,APO
4055,  4055 Magellan (1985 DO2),Y,N,14.90,2.49,0.31,0.3259,1.821,1.227,23.26,164.79,154.45,0.239,AMO
4179,  4179 Toutatis (1989 AC),Y,Y,15.29,5.4,0.405,0.6246,2.543,0.955,0.45,125.37,277.86,0.00651,APO
4183,  4183 Cuno (1959 LM),Y,Y,14.18,3.651,0.097,0.6362,1.981,0.721,6.67,294.34,237.01,0.0284,APO
4197,  4197 Morpheus (1982 TA),Y,N,14.97,1.8,0.37,0.7725,2.296,0.522,12.61,6.96,122.61,0.0986,APO
4257,  4257 Ubasti (1987 QA),Y,N,15.97,,,0.4683,1.647,0.876,40.72,169.14,278.95,0.17,APO
4341,  4341 Poseidon (1987 KF),Y,N,16.07,3.177,0.054,0.6801,1.834,0.587,11.84,108.02,15.84,0.194,APO
4401,  4401 Aditi (1985 TB),Y,N,16.12,1.801,0.343,0.5633,2.584,1.128,26.62,22.74,68.21,0.334,AMO
4450,  4450 Pan (1987 SY),Y,Y,17.27,,,0.5866,1.442,0.596,5.52,311.67,292.00,0.0289,APO
4486,  4486 Mithra (1987 SB),Y,Y,15.62,1.849,0.297,0.6598,2.205,0.750,3.03,82.16,169.30,0.0458,APO
4487,  4487 Pocahontas (1987 UA),Y,N,17.48,,,0.2964,1.73,1.217,16.41,198.09,173.97,0.219,AMO
4503,  4503 Cleobulus (1989 WM),Y,N,15.82,,,0.5247,2.704,1.285,2.51,45.94,76.25,0.305,AMO
4544,  4544 Xanthus (1989 FB),Y,N,17.39,1.3,,0.2502,1.042,0.781,14.14,23.93,333.85,0.174,APO
4581,  4581 Asclepius (1989 FC),Y,Y,20.74,,,0.3564,1.021,0.657,4.93,180.21,255.46,0.00382,APO
4596,  4596 (1981 QB),Y,N,16.47,,,0.5200,2.239,1.075,37.08,154.18,248.41,0.296,AMO
4660,  4660 Nereus (1982 DB),Y,Y,18.75,0.33,0.55,0.3587,1.485,0.952,1.45,313.11,159.56,0.00402,APO
4688,  4688 (1980 WF),Y,N,19.60,0.6,0.18,0.5178,2.233,1.077,6.37,241.22,213.85,0.108,AMO
4769,  4769 Castalia (1989 PB),Y,Y,17.38,1.4,0.092,0.4832,1.063,0.549,8.89,325.50,121.45,0.0204,APO
4947,  4947 Ninkasi (1988 TJ1),Y,N,18.07,,,0.1684,1.37,1.139,15.65,215.42,192.94,0.149,AMO
4953,  4953 (1990 MU),Y,Y,14.88,,,0.6576,1.621,0.555,24.38,77.52,77.94,0.0251,APO
4954,  4954 Eric (1990 SQ),Y,N,12.54,10.8,0.176,0.4492,2.002,1.102,17.43,358.39,52.63,0.194,AMO
4957,  4957 Brucemurray (1990 XJ),Y,N,15.05,3.499,0.132,0.2188,1.566,1.223,35.01,254.88,97.48,0.425,AMO
5011,  5011 Ptah (6743 P-L),Y,Y,16.64,,,0.5002,1.636,0.818,7.41,10.62,105.97,0.0245,APO
5131,  5131 (1990 BG),Y,N,14.82,,,0.5688,1.486,0.641,36.45,110.33,135.89,0.274,APO
5143,  5143 Heracles (1991 VL),Y,N,14.04,4.843,0.227,0.7713,1.835,0.420,8.98,309.10,228.21,0.0575,APO
5189,  5189 (1990 UQ),Y,Y,17.85,,,0.4781,1.552,0.810,3.58,135.04,160.01,0.0448,APO
5324,  5324 Lyapunov (1987 SL),Y,N,15.35,,,0.6073,2.977,1.169,19.70,351.94,321.27,0.22,AMO
5332,  5332 Davidaguilar (1990 DA),Y,N,14.96,3.6,,0.4555,2.164,1.178,25.52,142.75,306.11,0.306,AMO
5370,  5370 Taranis (1986 RA),Y,N,15.23,3.6,0.037,0.6372,3.318,1.204,19.18,177.77,161.27,0.211,AMO
5381,  5381 Sekhmet (1991 JY),Y,N,16.75,0.935,0.507,0.2964,0.9475,0.667,48.97,58.53,37.44,0.113,ATE
5496,  5496 (1973 NA),Y,N,16.18,,,0.6341,2.436,0.891,68.01,101.02,117.92,0.0959,APO
5587,  5587 (1990 SB),Y,N,13.89,3.57,0.32,0.5443,2.4,1.094,18.06,189.08,87.86,0.312,AMO
5590,  5590 (1990 VA),Y,N,19.91,,,0.2801,0.9864,0.710,14.18,216.25,34.50,0.121,ATE
5604,  5604 (1992 FE),Y,Y,17.32,0.55,0.48,0.4065,0.9299,0.552,4.70,311.93,82.77,0.0334,ATE
5620,  5620 Jasonwheeler (1990 OA),Y,N,17.11,,,0.4226,2.159,1.246,7.87,128.64,153.75,0.238,AMO
5626,  5626 Melissabrucker (1991 FE),Y,N,14.33,,,0.4545,2.195,1.197,3.85,173.08,231.91,0.213,AMO
5645,  5645 (1990 SP),Y,N,17.23,1.668,0.121,0.3873,1.355,0.830,13.50,45.70,48.29,0.0542,APO
5646,  5646 (1990 TR),Y,N,15.51,4.3,0.223,0.4363,2.144,1.208,7.91,14.03,335.84,0.21,AMO
5653,  5653 Camarillo (1992 WD5),Y,N,16.22,1.537,0.271,0.3045,1.794,1.248,6.88,9.88,122.67,0.283,AMO
5660,  5660 (1974 MA),Y,N,15.38,,,0.7619,1.786,0.425,38.15,302.11,127.06,0.163,APO
5693,  5693 (1993 EA),Y,Y,16.78,,,0.5852,1.271,0.527,5.06,96.98,258.97,0.00586,APO
5731,  5731 Zeus (1988 VP4),Y,N,15.47,5.231,0.031,0.6525,2.265,0.787,11.20,280.59,218.45,0.0649,APO
5751,  5751 Zao (1992 AC),Y,N,14.94,2.3,0.36,0.4253,2.102,1.208,16.07,121.63,25.46,0.241,AMO
5786,  5786 Talos (1991 RC),Y,N,17.14,,,0.8268,1.082,0.187,23.22,161.28,8.39,0.189,APO
5797,  5797 Bivoj (1980 AA),Y,N,18.89,0.4,,0.4444,1.894,1.052,4.19,298.91,168.68,0.0698,AMO
5828,  5828 (1991 AM),Y,N,15.98,1.457,0.331,0.6949,1.698,0.518,30.18,125.34,152.90,0.399,APO
5836,  5836 (1993 MF),Y,N,14.99,2.754,0.156,0.5393,2.437,1.123,7.93,238.47,78.29,0.178,AMO
5863,  5863 Tara (1983 RB),Y,N,15.81,1.345,0.488,0.5074,2.221,1.094,19.51,168.68,115.73,0.231,AMO
5869,  5869 Tanith (1988 VN4),Y,N,17.22,,,0.3213,1.812,1.230,17.92,227.84,230.87,0.31,AMO
5879,  5879 Almeria (1992 CH1),Y,N,17.61,,,0.2892,1.625,1.155,21.58,145.82,355.80,0.168,AMO
6037,  6037 (1988 EG),Y,Y,18.86,,,0.4996,1.272,0.636,3.51,182.15,242.36,0.024,APO
6047,  6047 (1991 TB1),Y,N,17.84,,,0.3521,1.455,0.942,23.47,6.06,103.84,0.14,APO
6050,  6050 Miwablock (1992 AE),Y,N,14.94,2.884,0.257,0.4371,2.202,1.239,6.41,88.16,284.99,0.267,AMO
6053,  6053 (1993 BW3),Y,N,15.10,3.720,0.140,0.5283,2.147,1.013,21.58,318.21,74.95,0.223,APO
6063,  6063 Jason (1984 KB),Y,N,16.02,1.4,0.21,0.7625,2.22,0.527,4.96,169.01,337.64,0.0763,APO
6178,  6178 (1986 DA),Y,N,15.71,2.3,0.15,0.5850,2.813,1.167,4.32,64.47,127.48,0.179,AMO
6239,  6239 Minos (1989 QF),Y,Y,18.59,,,0.4124,1.151,0.676,3.94,344.48,239.79,0.0261,APO
6455,  6455 (1992 HE),Y,N,14.08,4.626,0.227,0.5729,2.24,0.957,37.34,26.89,262.74,0.289,APO
6456,  6456 Golombek (1992 OM),Y,N,16.07,,,0.4084,2.195,1.298,8.23,313.54,347.26,0.284,AMO
6489,  6489 Golevka (1991 JX),Y,Y,19.22,0.53,0.151,0.6191,2.474,0.943,2.26,208.55,69.78,0.0225,APO
6491,  6491 (1991 OA),Y,Y,18.72,,,0.5918,2.501,1.021,6.16,299.98,326.32,0.0377,AMO
6569,  6569 Ondaatje (1993 MO),Y,N,16.63,,,0.2208,1.626,1.267,22.64,111.45,167.42,0.254,AMO
6611,  6611 (1993 VW),Y,N,16.82,1.408,0.158,0.4846,1.696,0.874,8.70,230.75,281.62,0.0603,APO
7025,  7025 (1993 QA),Y,N,18.08,0.498,0.340,0.3150,1.476,1.011,12.61,146.59,323.49,0.0628,APO
7088,  7088 Ishtar (1992 AA),Y,N,16.83,1.298,0.260,0.3902,1.981,1.208,8.30,102.61,354.79,0.225,AMO
7092,  7092 Cadmus (1992 LC),Y,N,15.12,6.319,0.046,0.6938,2.545,0.779,17.79,56.68,94.80,0.101,APO
7236,  7236 (1987 PA),Y,N,18.32,,,0.5652,2.716,1.181,16.80,307.51,339.45,0.18,AMO
7335,  7335 (1989 JA),Y,Y,17.70,1.8,0.448,0.4847,1.772,0.913,15.16,61.21,232.43,0.0226,APO
7336,  7336 Saunders (1989 RS1),Y,N,18.80,,,0.4822,2.305,1.193,7.20,174.41,181.53,0.188,AMO
7341,  7341 (1991 VK),Y,Y,16.96,0.982,0.235,0.5062,1.842,0.909,5.41,294.72,173.52,0.0478,APO
7350,  7350 (1993 VA),Y,N,17.16,1.921,0.069,0.3911,1.356,0.826,7.26,133.04,336.72,0.0806,APO
7358,  7358 Oze (1995 YA3),Y,N,14.73,,,0.5026,2.198,1.093,4.66,265.40,92.27,0.123,AMO
7474,  7474 (1992 TC),Y,N,18.11,,,0.2921,1.566,1.108,7.09,88.60,275.65,0.167,AMO
7480,  7480 Norwan (1994 PC),Y,N,17.24,,,0.3169,1.568,1.071,9.45,124.35,256.88,0.161,AMO
7482,  7482 (1994 PC1),Y,Y,16.58,1.052,0.277,0.3295,1.349,0.904,33.47,117.85,47.50,0.000614,APO
7753,  7753 (1988 XB),Y,Y,18.01,,,0.4815,1.467,0.761,3.12,73.39,280.07,0.00651,APO
7822,  7822 (1991 CS),Y,Y,17.34,1.602,0.075,0.1646,1.123,0.938,37.12,156.84,249.45,0.0219,APO
7839,  7839 (1994 ND),Y,N,17.83,0.784,0.181,0.5186,2.165,1.042,27.11,102.50,228.29,0.136,AMO
7888,  7888 (1993 UC),Y,N,15.19,2.298,0.257,0.6632,2.439,0.821,26.08,165.86,323.05,0.0859,APO
7889,  7889 (1994 LX),Y,N,15.24,1.680,0.452,0.3463,1.261,0.825,36.91,111.26,349.20,0.155,APO
7977,  7977 (1977 QQ5),Y,N,15.15,,,0.4661,2.226,1.188,25.17,134.12,248.10,0.356,AMO
8013,  8013 Gordonmoore (1990 KA),Y,N,17.07,2.3,,0.4321,2.2,1.249,7.60,105.34,147.41,0.245,AMO
8014,  8014 (1990 MF),Y,Y,18.88,0.7,,0.4564,1.747,0.950,1.87,209.75,114.86,0.0167,APO
8034,  8034 Akka (1992 LR),Y,N,18.02,,,0.4094,1.83,1.081,2.02,232.72,68.41,0.0731,AMO
8035,  8035 (1992 TB),Y,N,17.09,,,0.4624,1.342,0.722,28.30,185.61,6.10,0.272,APO
8037,  8037 (1993 HO1),Y,N,16.62,,,0.4177,1.987,1.157,5.91,22.37,105.77,0.201,AMO
8176,  8176 (1991 WA),Y,N,16.99,,,0.6433,1.575,0.562,39.57,66.47,241.92,0.192,APO
8201,  8201 (1994 AH2),Y,N,15.92,1.859,0.154,0.7061,2.54,0.746,9.54,164.07,25.11,0.101,APO
8507,  8507 (1991 CB1),Y,N,17.22,,,0.5951,1.687,0.683,14.61,317.36,345.87,0.221,APO
8566,  8566 (1996 EN),Y,Y,16.47,1.568,0.217,0.4304,1.506,0.858,37.98,164.09,125.16,0.0224,APO
8567,  8567 (1996 HW1),Y,N,15.36,2.928,0.156,0.4490,2.046,1.127,8.45,177.09,177.28,0.122,AMO
8709,  8709 Kadlu (1994 JF1),Y,N,17.10,,,0.4946,2.521,1.274,3.54,118.94,154.06,0.259,AMO
9058,  9058 (1992 JB),Y,N,17.82,,,0.3598,1.557,0.997,16.09,218.28,307.13,0.0849,APO
9162,  9162 Kwiila (1987 OA),Y,N,18.01,1.127,0.088,0.5955,1.497,0.605,9.01,179.97,235.85,0.0808,APO
9172,  9172 Abhramu (1989 OB),Y,N,16.64,,,0.5534,2.709,1.210,7.84,287.56,74.15,0.25,AMO
9202,  9202 (1993 PB),Y,N,16.10,1.617,0.332,0.6079,1.424,0.558,40.80,315.89,212.36,0.374,APO
9400,  9400 (1994 TW1),Y,N,14.84,3.698,0.155,0.5806,2.588,1.086,35.98,3.33,62.19,0.285,AMO
9856,  9856 (1991 EE),Y,Y,17.08,1.0,0.3,0.6254,2.244,0.840,9.83,168.05,116.27,0.0226,APO
9950,  9950 ESA (1990 VB),Y,N,16.20,,,0.5334,2.438,1.137,14.59,253.40,103.60,0.279,AMO
10115, 10115 (1992 SK),Y,Y,17.14,0.938,0.318,0.3249,1.249,0.843,15.32,8.87,233.73,0.0454,APO
10145, 10145 (1994 CK1),Y,N,17.00,,,0.6327,1.9,0.698,4.55,328.37,27.43,0.0628,APO
10150, 10150 (1994 PN),Y,N,15.45,,,0.5444,2.374,1.082,45.96,112.97,233.98,0.224,AMO
10165, 10165 (1995 BL2),Y,N,17.36,0.829,0.372,0.5038,1.235,0.613,23.90,312.41,348.48,0.376,APO
10302, 10302 (1989 ML),Y,N,19.48,,,0.1369,1.273,1.099,4.38,104.27,183.67,0.0818,AMO
10563, 10563 Izhdubar (1993 WD),Y,N,16.94,,,0.2662,1.007,0.739,63.46,56.56,132.19,0.144,APO
10636, 10636 (1998 QK56),Y,N,17.70,0.533,0.645,0.5128,1.885,0.918,13.58,172.91,286.36,0.111,APO
10860, 10860 (1995 LE),Y,N,17.02,,,0.5764,2.575,1.091,4.14,257.03,75.61,0.108,AMO
11054, 11054 (1991 FA),Y,N,17.07,,,0.4464,1.979,1.096,3.08,339.03,92.40,0.123,AMO
11066, 11066 Sigurd (1992 CC1),Y,N,15.17,2.104,0.190,0.3753,1.392,0.869,36.88,349.22,22.03,0.119,APO
11284, 11284 Belenus (1990 BA),Y,N,18.25,,,0.3374,1.74,1.153,1.99,311.70,171.19,0.169,AMO
11311, 11311 Peleus (1993 XN2),Y,N,15.74,,,0.5357,2.117,0.983,25.49,59.32,313.42,0.0951,APO
11398, 11398 (1998 YP11),Y,N,16.36,1.316,0.318,0.3891,1.721,1.051,15.02,144.71,74.78,0.203,AMO
11405, 11405 (1999 CV3),Y,N,15.22,3.621,0.112,0.3938,1.459,0.885,22.87,141.22,96.43,0.118,APO
11500, 11500 Tomaiyowit (1989 UR),Y,Y,18.38,0.738,0.142,0.3558,1.08,0.696,10.31,234.38,289.53,0.0342,APO
11885, 11885 Summanus (1990 SS),Y,N,18.52,1.298,0.033,0.4746,1.703,0.895,19.43,359.76,116.24,0.0671,APO
12538, 12538 (1998 OH),Y,Y,15.96,1.663,0.232,0.4060,1.542,0.916,24.54,220.69,321.79,0.0287,APO
12711, 12711 Tukmit (1991 BB),Y,N,16.02,,,0.2721,1.186,0.864,38.49,294.96,322.90,0.111,APO
12923, 12923 Zephyr (1999 GK4),Y,Y,15.80,2.060,0.199,0.4931,1.962,0.994,5.31,168.07,147.23,0.0196,APO
13553, 13553 Masaakikoyama (1992 JE),Y,N,16.54,,,0.4632,2.191,1.176,5.87,193.31,110.24,0.191,AMO
13651, 13651 (1997 BR),Y,Y,17.86,0.562,0.511,0.3056,1.336,0.927,17.25,116.63,133.86,0.0145,APO
14402, 14402 (1991 DB),Y,N,18.77,0.6,0.14,0.4017,1.715,1.026,11.41,158.14,51.52,0.103,AMO
14827, 14827 Hypnos (1986 JK),Y,Y,18.81,0.9,,0.6614,2.859,0.968,1.95,57.18,239.41,0.0177,APO
15745, 15745 Yuliya (1991 PM5),Y,N,17.40,,,0.2552,1.72,1.281,14.43,132.57,140.66,0.296,AMO
15817, 15817 Lucianotesi (1994 QC),Y,N,18.47,,,0.1181,1.324,1.168,13.87,162.46,94.37,0.248,AMO
16064, 16064 Davidharvey (1999 RH27),Y,N,16.86,4.106,0.020,0.5891,2.851,1.171,4.54,335.51,104.83,0.204,AMO
16636, 16636 (1993 QP),Y,N,18.78,,,0.4684,2.311,1.228,7.21,296.77,47.42,0.239,AMO
16657, 16657 (1993 UB),Y,N,16.55,,,0.4605,2.277,1.228,24.94,31.19,21.30,0.253,AMO
16816, 16816 (1997 UF9),Y,N,16.24,,,0.6037,1.442,0.572,25.92,37.14,158.00,0.38,APO
16834, 16834 (1997 WU22),Y,N,15.75,1.87,0.22,0.4421,1.468,0.819,16.00,260.75,334.40,0.146,APO
16912, 16912 Rhiannon (1998 EP8),Y,N,17.90,,,0.2727,1.751,1.274,24.52,169.16,221.24,0.321,AMO
16960, 16960 (1998 QS52),Y,Y,14.32,,,0.8591,2.201,0.310,17.51,260.14,243.27,0.0181,APO
17181, 17181 (1999 UM3),Y,N,16.77,,,0.6741,2.371,0.773,10.65,113.56,36.78,0.0717,APO
17182, 17182 (1999 VU),Y,N,17.13,2.885,0.028,0.5534,1.387,0.620,9.27,333.47,203.22,0.144,APO
17188, 17188 (1999 WC2),Y,N,16.42,1.819,0.147,0.6366,2.217,0.806,29.45,269.76,287.21,0.0646,APO
17274, 17274 (2000 LC16),Y,N,16.86,3.183,0.037,0.5543,2.731,1.217,5.57,305.70,21.31,0.207,AMO
17511, 17511 (1992 QN),Y,N,17.32,,,0.3587,1.19,0.763,9.58,355.88,202.44,0.132,APO
18106, 18106 Blume (2000 NX3),Y,N,17.78,,,0.5120,2.443,1.192,4.22,109.17,234.92,0.194,AMO
18109, 18109 (2000 NG11),Y,N,17.19,,,0.3676,1.881,1.190,0.81,59.54,319.25,0.191,AMO
18172, 18172 (2000 QL7),Y,N,15.69,,,0.5109,2.426,1.186,17.83,338.42,100.78,0.366,AMO
18736, 18736 (1998 NU),Y,N,15.98,,,0.4911,2.35,1.196,2.81,297.42,222.89,0.208,AMO
18882, 18882 (1999 YN4),Y,N,16.14,,,0.2321,1.685,1.294,36.81,291.67,242.63,0.431,AMO
19356, 19356 (1997 GH3),Y,N,17.00,0.91,0.34,0.5579,2.512,1.111,3.01,186.45,334.16,0.122,AMO
19764, 19764 (2000 NF5),Y,N,16.11,1.572,0.342,0.4450,2.231,1.238,1.33,281.36,9.94,0.222,AMO
20086, 20086 (1994 LW),Y,N,16.68,,,0.6298,3.166,1.172,21.62,236.37,58.33,0.295,AMO
20236, 20236 (1998 BZ7),Y,Y,17.72,,,0.5610,2.033,0.893,6.51,111.23,104.55,0.0499,APO
20255, 20255 (1998 FX2),Y,N,18.45,,,0.4919,2.152,1.093,9.96,180.91,17.52,0.102,AMO
20425, 20425 (1998 VD35),Y,Y,20.51,,,0.4767,1.565,0.819,6.99,227.24,296.32,0.00357,APO
20429, 20429 (1998 YN1),Y,N,17.76,,,0.4640,1.556,0.834,6.30,61.72,147.70,0.0565,APO
20460, 20460 Robwhiteley (1999 LO28),Y,N,15.41,2.716,0.199,0.4119,1.877,1.104,33.96,279.99,283.73,0.33,AMO
20790, 20790 (2000 SE45),Y,N,16.64,,,0.5562,2.753,1.222,8.30,302.84,168.99,0.24,AMO
20826, 20826 (2000 UV13),Y,N,13.85,3.687,0.123,0.6367,2.417,0.878,31.93,347.29,198.69,0.0923,APO
21088, 21088 Chelyabinsk (1992 BL2),Y,N,14.33,2.793,0.206,0.2388,1.706,1.299,38.46,297.83,27.19,0.307,AMO
21277, 21277 (1996 TO5),Y,N,16.18,,,0.5203,2.378,1.141,20.95,167.33,250.21,0.313,AMO
21374, 21374 (1997 WS22),Y,N,17.45,,,0.1207,1.269,1.116,23.98,59.19,197.32,0.109,AMO
22099, 22099 (2000 EX106),Y,N,18.09,0.524,0.444,0.2764,1.105,0.799,9.85,136.42,186.64,0.168,APO
